invoiceNum,salePerson,distributeChannel,customerName,customerGender,birthYear,productName,productColor,productSize,productCategory,productQty,productUnitPrice,orderDate,shipInterval
20650370,Mark Richardson,1,Dr. Kimberly Bruce,M,1984,Trousers,Blue,M,Bottoms,2,40,10/06/2026,5
32043963,Casey Ortiz,9,Laura Stevens,F,1988,Watch,Yellow,L,Accessories,1,150,07/31/2025,7
74081363,Richard Patel,1,Timothy Adams,M,2004,Slippers,Black,XL,Footwear,1,15,05/31/2024,4
70641814,Linda Terrell,2,Christopher Rodriguez,M,1963,Pants,Blue,M,Bottoms,3,45,11/07/2024,7
81632884,Ronald Johnson,2,Sandra Wiggins,M,2004,Loafers,Beige,L,Footwear,6,55,10/30/2026,3
26307489,Stephanie Martinez,6,Maria Smith,M,1982,Sneakers,Beige,XXL,Footwear,5,75,11/27/2024,6
78071158,Cynthia Bradshaw,4,Joshua Gilbert,F,1971,Trousers,Navy,XS,Bottoms,5,40,09/31/2024,4
44311984,Anthony Lee,4,Taylor Delacruz,M,1982,Sunglasses,White,XL,Accessories,6,70,06/18/2025,5
70224691,Jeremy Cook,6,Kyle Roy,F,1977,Tracksuit,Beige,XS,Sports,8,60,05/31/2026,3
61150610,Mark Cummings,3,Lindsey Chavez,F,2009,Scarf,White,XL,Headwear,8,20,01/22/2024,3
92758349,Stephanie Martinez,4,Katie Jones,M,2005,Bracelet,Gray,M,Accessories,8,45,12/30/2025,4
30743667,Joseph Brown,7,Marc Williams,M,1967,Shirt,Red,XL,Tops,8,25,10/25/2025,4
20523704,Katelyn Wilkins,5,Connie Wallace,M,2002,Helmet,Beige,M,Headwear,7,50,11/30/2024,4
65662933,Casey Ortiz,8,Kelly Bailey,F,1985,Necklace,Navy,XXL,Accessories,6,65,05/06/2026,3
40454424,Richard Patel,3,Rebekah Hill,M,2011,Ring,Blue,S,Accessories,3,40,12/25/2026,2
65537978,James Quinn,9,Shannon Miles,F,2005,Jeans,Green,XL,Bottoms,7,50,11/02/2026,3
17965842,Mr. Ricardo Holland,7,Melissa Sanders,F,2010,Watch,Gray,S,Accessories,4,150,02/30/2025,3
95811106,Michael Mendoza,5,Kathleen Morgan,M,1971,Loafers,Black,L,Footwear,1,55,12/31/2024,2
40440212,Robin Callahan,6,Jacqueline Blackburn,M,1987,Swimsuit,Green,XXL,Sports,8,40,09/01/2025,4
31192915,Ronald Johnson,3,Samantha Hayden,M,2002,Jacket,Yellow,S,Tops,8,60,02/31/2026,7
59388771,Marcus Guzman,4,Kimberly Oconnor,F,2001,Heels,Black,XS,Footwear,3,65,08/16/2026,5
66408846,Mark Cummings,1,John Heath,M,2003,Heels,Blue,XS,Footwear,7,65,08/31/2024,5
28951859,Christopher Wright,7,William Barton,M,2010,Shorts,Navy,XS,Bottoms,8,25,07/30/2026,3
16711508,Richard Johnson DVM,1,Alicia Riggs,F,1981,Trousers,Yellow,L,Bottoms,6,40,01/31/2024,3
78309566,Jonathon King,3,Tyler Evans,M,2014,Tracksuit,Yellow,XXXL,Sports,7,60,10/31/2024,5
41308887,Joseph Brown,5,Marissa Davenport,M,2013,Tracksuit,Beige,L,Sports,8,60,11/30/2024,4
49397101,Katelyn Wilkins,3,Lawrence Farmer,M,2011,Loafers,Yellow,L,Footwear,4,55,12/30/2024,5
33452145,Dawn Vaughan,2,Casey Nelson,M,1996,Beanie,Blue,S,Headwear,4,10,11/20/2024,5
87078766,Katelyn Wilkins,1,Ronald Miller,M,1967,Slippers,Red,XS,Footwear,2,15,10/30/2024,5
55300122,Christopher Wright,9,Christopher Holder,M,2010,Skirt,White,XL,Bottoms,7,30,11/30/2026,8
97602333,Cynthia Bradshaw,4,Norman Keller,F,1977,Sneakers,Gray,XXXL,Footwear,6,75,10/01/2026,6
64479123,Taylor Flores,8,Joel Patterson,F,1962,Helmet,Blue,XS,Headwear,4,50,06/30/2026,8
08330211,Richard Johnson DVM,1,Brian Jackson,M,2012,Coat,Blue,M,Tops,3,80,07/16/2026,6
27001649,Joseph Brown,7,Rachael Dillon,M,1997,Watch,Black,M,Accessories,2,150,11/30/2026,7
42176915,Richard Steele,3,Megan Dunn,F,1965,Uniform,Yellow,M,Sports,1,55,12/30/2026,8
60267852,Casey Ortiz,1,William Valdez,F,1965,Loafers,Green,L,Footwear,4,55,12/30/2025,5
79273380,Cynthia Sanchez,6,Tiffany Patterson,F,1976,Sweater,Beige,XL,Tops,5,35,10/18/2026,3
68035651,Dawn Vaughan,9,Joseph Miller,M,2007,Bracelet,Gray,S,Accessories,6,45,09/14/2025,6
95635766,Linda Terrell,5,Joshua Perry,F,1971,Earrings,Green,M,Accessories,5,35,12/01/2025,4
61721631,Randall Sims,7,Philip Martinez,M,2003,Belt,Blue,L,Sports,6,25,08/24/2025,5
14013456,Susan Rivera,7,Sarah Soto,M,1968,Boots,Red,S,Footwear,4,90,04/31/2024,6
42427627,Susan Rivera,2,Christopher Flores,F,1995,Boots,Black,S,Footwear,8,90,11/31/2024,4
54239891,Nicole Harrington,4,Martin Gomez,F,1975,Sweater,Gray,XS,Tops,6,35,12/30/2024,6
28544114,Christopher Wright,1,Jose Lewis,M,2011,Leggings,Green,L,Bottoms,1,20,12/30/2025,5
59054358,Mark Richardson,9,Donna Hardy,F,2011,Bracelet,White,L,Accessories,7,45,12/07/2024,6
25765253,Cynthia Bradshaw,1,Patrick Stanton,M,2006,Jacket,Red,L,Tops,3,60,07/31/2024,7
43246968,Susan Werner,8,Lawrence Hanson,F,1966,Earrings,Black,XXL,Accessories,6,35,01/31/2025,4
80607379,Gregory Wheeler,6,Sarah Castillo,M,1964,Jeans,Gray,XS,Bottoms,7,50,10/10/2024,8
26087750,Ronald Johnson,2,Douglas Parks,F,1961,Scarf,Red,XS,Headwear,8,20,01/03/2024,5
21098389,Casey Ortiz,3,Jason Gonzalez,F,1991,Sunglasses,Red,L,Accessories,3,70,05/01/2024,3
23551469,Mary Baker,4,Kevin Stokes,M,2007,Trousers,Yellow,XXXL,Bottoms,5,40,05/31/2024,3
50507162,Linda Terrell,2,Austin Rodriguez,F,2007,Scarf,Gray,XS,Headwear,5,20,11/12/2025,8
95657719,Mr. Ricardo Holland,6,Ryan Mcfarland,M,2002,Sandals,Black,XS,Footwear,3,30,12/30/2024,4
05182325,Robin Callahan,1,Christopher Hayes,F,2006,Tracksuit,White,XL,Sports,7,60,06/30/2024,7
93272458,Dawn Vaughan,1,Joshua Galloway,F,2005,Shirt,Beige,L,Tops,6,25,08/28/2025,6
19306680,Amy Fisher,9,Timothy Santos,F,2014,Belt,White,S,Sports,3,25,11/04/2026,3
40853395,Mark Richardson,7,Andrew Walker,M,2000,Pants,Beige,XXXL,Bottoms,3,45,05/31/2026,2
87204128,Katelyn Wilkins,1,Nicholas Williams,M,2001,Shorts,Green,XS,Bottoms,2,25,10/31/2026,3
39549279,Cynthia Bradshaw,9,Robert Murray,F,1985,Bracelet,Black,XS,Accessories,6,45,10/24/2025,8
70951634,Cynthia Sanchez,3,Daniel West,F,2011,Bracelet,Gray,S,Accessories,5,45,03/30/2025,3
23966316,Mary Baker,4,Matthew Cook,F,2011,Leggings,Green,S,Bottoms,8,20,01/25/2025,3
31297830,Susan Werner,3,Ryan Ferguson,M,1991,Shirt,Red,L,Tops,4,25,01/30/2024,6
