invoiceNum,salePerson,distributeChannel,customerName,customerGender,birthYear,productName,productColor,productSize,productCategory,productQty,productUnitPrice,orderDate,shipInterval
90135947,William Hughes,1,Mr. Nicholas Valdez,M,1992,Helmet,Black,L,Headwear,3,50,11/30/2021,5
88759274,Taylor Flores,3,Michael Arroyo,M,1980,Scarf,White,M,Headwear,7,20,10/11/2021,8
87330617,Joseph Brown,2,Melissa Wood,F,1994,Bracelet,Red,XL,Accessories,4,45,11/21/2020,4
53082247,Christine Richardson,3,Joshua Salazar,M,2004,Tie,Navy,XS,Sports,3,20,11/31/2020,2
01524943,Joseph Brown,3,Victor Bates,M,1984,Skirt,Green,XXL,Bottoms,4,30,12/22/2020,3
60897868,Joseph Brown,1,Adam Barnes,F,2013,Tracksuit,Green,XXXL,Sports,4,60,11/30/,5
86192251,Christopher Wright,3,Kristen Holmes,F,1987,Loafers,Beige,L,Footwear,1,55,11/30/,2
09974730,Joseph Brown,2,Regina Martin,F,1971,Jacket,Black,XL,Tops,3,60,08/22/2021,8
14234150,Nicole Harrington,2,Lauren Norton,M,1979,Bracelet,Navy,L,Accessories,1,45,10/31/2021,2
06561474,Anthony Lee,3,Miss Danielle Hunt,M,1989,T-shirt,Gray,M,Tops,4,15,06/02/,3
64212360,Nicole Harrington,3,Brian Robinson,F,1978,Jeans,Beige,S,Bottoms,8,50,05/31/,6
38517416,Anthony Lee,1,Lisa Edwards,F,2005,Tie,Green,XXXL,Sports,6,20,02/26/2021,7
96837038,Joseph Brown,2,Nichole Brown DDS,F,1983,Hat,Green,XL,Headwear,6,18,05/07/,2
86715541,Richard Patel,3,Jerry Mcneil,F,2009,Helmet,Navy,XS,Headwear,7,50,11/15/2021,7
13972906,Taylor Flores,3,Andrea Bass,F,1977,Hoodie,Yellow,XXXL,Tops,5,40,10/30/,5
25782514,Christine Richardson,3,John Oneal,F,2007,Shorts,Blue,XS,Bottoms,6,25,10/30/2021,2
76435489,Christine Richardson,1,Olivia Lewis,M,2006,Hood,Yellow,S,Headwear,5,25,09/31/2020,2
69597103,Christine Richardson,2,Dean Horne,F,1968,Sweater,Black,XXL,Tops,7,35,04/30/2021,2
79012846,Christine Richardson,3,Jason Patrick,F,2013,Cap,Green,XS,Headwear,3,12,07/31/2020,2
82685535,William Hughes,1,Annette Mckenzie,M,1968,Ring,Beige,L,Accessories,1,40,12/31/2021,4
51601348,Anthony Lee,3,Cheryl Carpenter,F,2009,Belt,Blue,XXL,Sports,4,25,10/31/2021,5
50100918,William Hughes,1,Anthony Campbell,F,2005,Tracksuit,Green,XXXL,Sports,4,60,10/19/2021,5
43556327,Nicole Garcia,2,Tammy Salazar,M,1960,Shirt,Beige,XXL,Tops,1,25,11/05/2020,5
03640686,Robin Callahan,3,Douglas Lewis,F,1996,Skirt,Green,XXL,Bottoms,5,30,10/31/2021,8
57117095,Richard Patel,1,Jacob Palmer,F,1974,Swimsuit,Beige,L,Sports,5,40,02/02/2020,4
30452283,Nicole Harrington,1,Kyle Ramirez,M,1997,Hat,Black,XXXL,Headwear,8,18,04/14/,8
28506682,Joseph Brown,2,Jordan Baird,F,2000,Socks,Yellow,L,Sports,1,8,02/23/,5
49761732,Anthony Lee,3,Luis Jones,M,2014,Bracelet,Black,XXL,Accessories,3,45,11/03/2021,4
08117465,Robin Callahan,2,Ashley Lopez,F,1980,Scarf,Yellow,XL,Headwear,2,20,02/30/2021,4
78023063,Robin Callahan,1,Jennifer Smith,F,2006,Belt,Yellow,XS,Sports,3,25,10/31/2021,5
42734029,Taylor Flores,2,Sarah Martin DDS,F,1976,Sandals,Blue,M,Footwear,2,30,10/12/2021,5
97681613,Richard Patel,2,Amanda Underwood,M,2006,Cap,Gray,S,Headwear,2,12,09/09/2021,3
35949463,Taylor Flores,1,Richard Walker,M,2007,Uniform,Blue,XS,Sports,1,55,10/31/2020,2
09051577,Nicole Garcia,3,Daniel Ball,F,2010,Heels,Black,XL,Footwear,8,65,11/09/2020,2
64420937,William Hughes,2,Kaitlyn Smith,M,1983,Swimsuit,Red,XXL,Sports,6,40,07/30/2021,7
97162121,Nicole Harrington,2,Samuel Clay,M,2007,Leggings,Navy,XS,Bottoms,7,20,08/31/2021,7
96283587,William Hughes,2,Gabriella Payne,M,1991,Tracksuit,White,M,Sports,6,60,08/31/2020,7
67543983,Anthony Lee,2,Nathan Martinez,F,1998,Scarf,White,L,Headwear,3,20,12/31/2021,3
