invoiceNum,salePerson,distributeChannel,customerName,customerGender,birthYear,productName,productColor,productSize,productCategory,productQty,productUnitPrice,orderDate,shipInterval
07673403,Mark Cummings,9,Michael Turner,M,2002,Hood,Blue,XXL,Headwear,5,25,11/08/2024,2
03496819,Jonathon King,3,Dustin Berger,M,1966,Uniform,Beige,XXL,Sports,6,55,03/30/2024,7
40411498,Mary Baker,8,Donald Miller,F,1967,Sandals,Beige,XXL,Footwear,4,30,11/31/2025,6
39271572,Richard Patel,3,Kenneth Richards,F,2002,Skirt,Yellow,XS,Bottoms,5,30,10/31/2025,2
14967020,Joseph Brown,6,Nathan Hayes,F,1993,Shirt,Black,M,Tops,7,25,01/31/2026,4
12989636,Joseph Brown,3,Leah Wagner,M,2015,Hood,White,XXL,Headwear,7,25,11/16/2026,6
10333354,Joseph Brown,6,Kristin Knox,M,1989,Bracelet,Blue,S,Accessories,7,45,11/01/2024,4
09811691,Amy Fisher,1,Jennifer Carpenter,M,2013,Bracelet,Black,XS,Accessories,6,45,03/31/2025,7
26988874,Gregory Wheeler,9,Nicole Simon,F,1974,Hat,Blue,XL,Headwear,4,18,11/31/2026,6
62105339,Mr. Ricardo Holland,5,Michelle Stokes,M,2014,Loafers,Blue,XXL,Footwear,1,55,01/28/2025,7
99122607,Carrie Smith,1,Laura Nicholson,M,1987,Boots,Beige,XS,Footwear,1,90,08/31/2024,6
28669165,Christine Richardson,1,Austin Sanchez,F,1969,Heels,Red,XXXL,Footwear,1,65,09/31/2026,8
39299219,Linda Terrell,3,Matthew Woodard,M,2011,Jacket,Beige,XXXL,Tops,7,60,11/05/2024,5
81836738,John Mendez,9,Anthony Underwood,F,2007,Skirt,Beige,XS,Bottoms,3,30,04/30/2024,7
10638977,Mr. Ricardo Holland,7,Kelly Morris,M,1987,Shorts,Navy,XXXL,Bottoms,2,25,05/31/2024,3
90155579,Robin Callahan,2,Brandon Steele,M,1995,Hoodie,Black,L,Tops,5,40,12/31/2024,3
79142123,Anthony Lee,3,Steven Baldwin,F,1967,Scarf,Yellow,M,Headwear,5,20,09/31/2026,4
35644735,Amy Burke,1,Rick Stokes,F,2010,Slippers,Yellow,L,Footwear,7,15,10/31/2026,6
77687412,Nicole Harrington,1,Joanna Cortez,F,2015,Swimsuit,Yellow,XS,Sports,2,40,07/31/2026,3
89949439,Mary Baker,4,Christopher Walton,M,2006,Jeans,Red,XL,Bottoms,1,50,11/04/2026,6
18024814,Robin Callahan,1,Elizabeth Williams,M,2003,Slippers,Blue,XS,Footwear,5,15,03/31/2025,7
97329506,Jonathon King,1,Jeffery Lane,M,1976,Sandals,Gray,S,Footwear,1,30,11/30/2025,6
30000598,Robin Callahan,4,Edwin Smith,F,1998,Hat,Yellow,XL,Headwear,1,18,01/10/2024,6
71203883,Cynthia Bradshaw,9,Caitlin Johnson,M,1999,Ring,White,S,Accessories,4,40,05/30/2026,5
40209152,John Mendez,2,Sarah Navarro,F,1978,Boots,Red,XXL,Footwear,8,90,09/30/2025,7
58171504,Melissa Thomas,1,Erica Roberts,M,2009,Beanie,Blue,XS,Headwear,4,10,03/06/2024,8
95931061,Martin Johnson,7,Jim Cortez,F,2000,Earrings,Green,XXL,Accessories,7,35,06/30/2026,4
52633014,Katelyn Wilkins,3,Angela Anderson,F,1975,Sneakers,Green,XXL,Footwear,4,75,12/31/2026,4
61438720,John Mendez,8,Mary Mcgee,F,2007,Beanie,Black,XL,Headwear,2,10,06/05/2026,3
33496765,Michael Mendoza,6,Linda Wilson,M,2005,Beanie,Blue,XXXL,Headwear,2,10,11/09/2026,6
65745768,Martin Johnson,1,Margaret Jordan,M,2012,T-shirt,White,M,Tops,4,15,11/03/2025,7
68564274,Christopher Cook,4,Amanda Thompson,M,2010,Trousers,Red,XL,Bottoms,5,40,04/09/2025,7
19603895,Amy Fisher,7,Anna Moore,M,2002,Skirt,Yellow,XXL,Bottoms,4,30,03/30/2026,2
97669172,Ronald Johnson,2,Sean Brewer,M,2011,Watch,Yellow,M,Accessories,1,150,10/02/2026,3
81579024,William Hughes,6,Christina Hansen,F,2001,Jacket,White,XXXL,Tops,7,60,10/30/2025,4
29404209,Susan Rivera,5,Jesus Rocha,M,1968,Scarf,Gray,L,Headwear,2,20,11/21/2024,5
89759110,Rebecca Blackburn,2,Christian Miller,M,2003,Boots,Green,M,Footwear,8,90,12/30/2026,3
77010624,Anthony Lee,4,Michael Martin,F,2012,Scarf,Yellow,XXXL,Headwear,5,20,12/09/2024,3
84860151,Jonathon King,5,Amanda Little,M,1998,Sandals,Beige,M,Footwear,7,30,10/29/2024,2
53768374,Mr. Ricardo Holland,1,Kathy Watson,F,2010,Beanie,Gray,M,Headwear,1,10,10/28/2024,8
07494433,Amy Burke,1,Veronica Marsh,F,1979,Socks,Yellow,XXXL,Sports,5,8,04/30/2025,5
07007507,Joseph Brown,9,Sherry Martinez,M,1980,Earrings,Beige,XXL,Accessories,1,35,10/11/2026,2
67434098,Kyle Smith,6,Michael Oconnor,M,1984,Ring,Beige,XS,Accessories,2,40,11/25/2026,2
10491944,Christopher Wright,3,Kevin Bell,F,1968,Coat,Green,L,Tops,2,80,07/01/2024,6
70360074,Susan Werner,6,Stanley Colon,M,1963,Hat,Red,M,Headwear,1,18,11/31/2025,6
77172146,Casey Ortiz,3,Jerry Mills,M,1978,Sweater,Yellow,S,Tops,7,35,11/09/2024,6
78921679,Nicole Harrington,5,Kimberly Johnson,F,2001,Sweater,Green,XXL,Tops,6,35,01/31/2024,7
44468147,Joseph Brown,8,Daniel Simpson,F,2012,Slippers,Black,XXXL,Footwear,1,15,06/31/2024,4
34336515,Susan Werner,9,Tony Wilson,F,1968,Tie,Red,XXXL,Sports,5,20,07/11/2024,8
67600967,Cynthia Bradshaw,9,Joan Gordon,F,2006,Shorts,Red,M,Bottoms,6,25,07/07/2025,3
72404966,William Hughes,4,Nicole Cooke,M,2011,Belt,Black,XS,Sports,7,25,10/10/2024,2
95410791,Carrie Smith,8,Jessica Waller,F,2009,T-shirt,Yellow,XXL,Tops,7,15,12/17/2026,4
47803199,Stephanie Martinez,7,Mark Byrd,F,2013,Coat,Red,XL,Tops,2,80,11/29/2026,8
19782672,Amy Burke,2,Jonathan Thomas,M,2003,Shirt,Blue,S,Tops,6,25,11/30/2025,6
44469947,Cynthia Bradshaw,4,Jennifer Harris,M,2012,Earrings,Gray,M,Accessories,1,35,11/31/2025,2
